38.9.147.154,888,ID,MEDIA-ANTAR-CGNT-NET-1
38.9.140.90,443,ID,MEDIA-ANTAR-CGNT-NET-1
38.9.141.180,443,ID,MEDIA-ANTAR-CGNT-NET-1
38.9.141.180,54321,ID,MEDIA-ANTAR-CGNT-NET-1
38.9.141.98,443,ID,MEDIA-ANTAR-CGNT-NET-1
38.9.141.98,45376,ID,MEDIA-ANTAR-CGNT-NET-1
38.9.147.180,73,ID,MEDIA-ANTAR-CGNT-NET-1
38.9.147.180,74,ID,MEDIA-ANTAR-CGNT-NET-1
38.9.147.180,88,ID,MEDIA-ANTAR-CGNT-NET-1
38.9.147.180,888,ID,MEDIA-ANTAR-CGNT-NET-1
45.198.0.164,10104,ID,ORG-CIL1-AFRINIC
45.198.0.164,10109,ID,ORG-CIL1-AFRINIC
45.198.0.164,10111,ID,ORG-CIL1-AFRINIC
45.198.0.164,10151,ID,ORG-CIL1-AFRINIC
45.198.0.164,10189,ID,ORG-CIL1-AFRINIC
45.198.0.164,10190,ID,ORG-CIL1-AFRINIC
45.198.0.164,10193,ID,ORG-CIL1-AFRINIC
45.198.0.164,10200,ID,ORG-CIL1-AFRINIC
45.198.0.164,10213,ID,ORG-CIL1-AFRINIC
45.198.0.164,10219,ID,ORG-CIL1-AFRINIC
45.198.0.164,10252,ID,ORG-CIL1-AFRINIC
45.198.0.164,10266,ID,ORG-CIL1-AFRINIC
45.198.0.164,10268,ID,ORG-CIL1-AFRINIC
45.198.0.164,10269,ID,ORG-CIL1-AFRINIC
45.198.0.164,10291,ID,ORG-CIL1-AFRINIC
45.198.0.164,10327,ID,ORG-CIL1-AFRINIC
45.198.0.164,10353,ID,ORG-CIL1-AFRINIC
45.198.0.164,20101,ID,ORG-CIL1-AFRINIC
45.198.0.164,20102,ID,ORG-CIL1-AFRINIC
45.198.0.164,20118,ID,ORG-CIL1-AFRINIC
45.198.0.164,20132,ID,ORG-CIL1-AFRINIC
45.198.0.164,20158,ID,ORG-CIL1-AFRINIC
45.198.0.164,20170,ID,ORG-CIL1-AFRINIC
45.198.0.164,20174,ID,ORG-CIL1-AFRINIC
45.198.0.164,20184,ID,ORG-CIL1-AFRINIC
45.198.0.164,20191,ID,ORG-CIL1-AFRINIC
45.198.0.164,20196,ID,ORG-CIL1-AFRINIC
45.198.0.164,20202,ID,ORG-CIL1-AFRINIC
45.198.0.164,20204,ID,ORG-CIL1-AFRINIC
45.198.0.164,20210,ID,ORG-CIL1-AFRINIC
45.198.0.164,20211,ID,ORG-CIL1-AFRINIC
45.198.0.164,20221,ID,ORG-CIL1-AFRINIC
45.198.0.164,20253,ID,ORG-CIL1-AFRINIC
45.198.0.164,20275,ID,ORG-CIL1-AFRINIC
45.198.0.164,20283,ID,ORG-CIL1-AFRINIC
45.198.0.164,20285,ID,ORG-CIL1-AFRINIC
45.198.0.164,20292,ID,ORG-CIL1-AFRINIC
45.198.0.164,20293,ID,ORG-CIL1-AFRINIC
45.198.0.164,20309,ID,ORG-CIL1-AFRINIC
45.198.0.164,20310,ID,ORG-CIL1-AFRINIC
45.198.0.164,20343,ID,ORG-CIL1-AFRINIC
45.198.0.164,20345,ID,ORG-CIL1-AFRINIC
45.198.0.164,30122,ID,ORG-CIL1-AFRINIC
45.198.0.164,30133,ID,ORG-CIL1-AFRINIC
45.198.0.164,30134,ID,ORG-CIL1-AFRINIC
45.198.0.164,30148,ID,ORG-CIL1-AFRINIC
45.198.0.164,30197,ID,ORG-CIL1-AFRINIC
45.198.0.164,30206,ID,ORG-CIL1-AFRINIC
45.198.0.164,30207,ID,ORG-CIL1-AFRINIC
45.198.0.164,30232,ID,ORG-CIL1-AFRINIC
45.198.0.164,30242,ID,ORG-CIL1-AFRINIC
45.198.0.164,30282,ID,ORG-CIL1-AFRINIC
45.198.0.164,30300,ID,ORG-CIL1-AFRINIC
45.198.0.164,30312,ID,ORG-CIL1-AFRINIC
45.198.0.164,30319,ID,ORG-CIL1-AFRINIC
45.198.0.164,30337,ID,ORG-CIL1-AFRINIC
45.198.0.164,30344,ID,ORG-CIL1-AFRINIC
45.198.0.164,40130,ID,ORG-CIL1-AFRINIC
45.198.0.164,40139,ID,ORG-CIL1-AFRINIC
45.198.0.164,40144,ID,ORG-CIL1-AFRINIC
45.198.0.164,40199,ID,ORG-CIL1-AFRINIC
